Cluster    NPs
---------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
"F10C1      ['F10A3', 'F10B5', 'F10C1', 'F10C4', 'F10D1', 'F10E3', 'F10E5', 'F11A6', 'F11B2', 'F11D1', 'F11D4', 'F12B3', 'F12D4', 'F15A6', 'F15B5', 'F15C6', 'F15D2', 'F15E2', 'F15F1', 'F15F3', 'F15F6', 'F15F8', 'F15H1', 'F15H5', 'F16A2', 'F16A4', 'F16B1', 'F16B3', 'F16B6', 'F16C1', 'F16G6', 'F17B1', 'F17C1', 'F17C7', 'F17F5', 'F17G3', 'F17G5', 'F18B4', 'F18C4', 'F18F2', 'F5B3', 'F5D1', 'F5F2', 'F6B2', 'F6B4', 'F6E4', 'F6F4', 'F6G2', 'F7A6', 'F7B1', 'F7C1', 'F7F3', 'F7G2', 'F8A1', 'F8B2', 'F8D4', 'F8G2', 'F9C5', 'F9D6', 'F9F2', 'F9G3']"
"F10B3      ['F10B3', 'F10C3', 'F10D5', 'F10F3', 'F10G2', 'F11B1', 'F11B5', 'F11C2', 'F11D2', 'F11G4', 'F12B1', 'F12C6', 'F12E1', 'F12F1', 'F15A5', 'F15C8', 'F15D1', 'F15E1', 'F15E5', 'F15E7', 'F15F5', 'F16A5', 'F16D6', 'F16F4', 'F16G3', 'F17E6', 'F17E7', 'F17F3', 'F18B2', 'F18D2', 'F3F1', 'F5A2', 'F5A4', 'F5B1', 'F5B2', 'F5B4', 'F5E2', 'F6F2', 'F7B2', 'F7B4', 'F7B5', 'F7B6', 'F7C2', 'F7C6', 'F7D3', 'F7E2', 'F8B4', 'F8B5', 'F8C5', 'F8D3', 'F8G1', 'F9A2', 'F9A5', 'F9D3']"
"F10A5      ['F10A5', 'F10F1', 'F10F5', 'F11A3', 'F11G3', 'F12B2', 'F12E4', 'F12E5', 'F12E6', 'F12F5', 'F12G1', 'F15A3', 'F15C5', 'F15E4', 'F16B2', 'F16G4', 'F17A7', 'F17B7', 'F17C2', 'F17D6', 'F18E1', 'F18E2', 'F5C1', 'F5C2', 'F5C4', 'F5E4', 'F5G2', 'F6A4', 'F6C2', 'F6C4', 'F6D2', 'F6E2', 'F6G3', 'F7A3', 'F7D2', 'F7D4', 'F7D6', 'F7E6', 'F7F2', 'F7F6', 'F7G5', 'F8A2', 'F8E6', 'F9A3', 'F9A4', 'F9B4', 'F9B6', 'F9F3']"
